"Student Number ",Section,Age,Gender,"City Address","Parent's monthly income","Last School Attended(High School)",Track,"General Weighted Average(GWA) - Grade 11 and 12 OR 4th year high school","General Weighted Average(GWA) - College 1st year 1st Semester","General Weighted Average(GWA) - College 1st year 2nd Semester","Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)",CONTINUE/STOP
21-00010,BSIT-1A,19,0,1,1,11,1,4,5,2,0,
21-00752,BSIT-1B,21,1,1,3,23,3,3,5,4,1,
21-00697,BSIT-1C,19,1,1,1,4,1,4,4,5,0,
"21-00376 ",BSIT-1B,18,0,1,1,23,3,5,5,4,0,
21-01108,BSIT-1A,21,1,1,1,4,5,4,5,3,0,
21-00993,BSIT-1C,19,1,2,2,23,1,3,4,2,0,
21-00571,BSIT-1B,18,0,1,1,23,3,4,5,4,0,
21-00544,BSIT-1B,18,0,1,3,23,3,4,5,4,0,
21-00609,BSIT-1B,20,0,1,2,20,3,4,4,4,1,
21-00680,BSIT-1C,19,1,1,2,2,1,3,5,4,0,
21-00437,BSIT-1B,18,1,1,1,1,1,4,4,5,0,
21-00056,BSIT-1A,20,1,1,2,2,3,4,4,2,0,
"21-00985 ",BSIT-1C,19,0,2,2,23,1,4,4,5,0,
