Student Number ,Section,Age,Gender,City Address,Parent's monthly income,Last School Attended(High School),Track,General Weighted Average(GWA) - Grade 11 and 12 OR 4th year high school,General Weighted Average(GWA) - College 1st year 1st Semester,General Weighted Average(GWA) - College 1st year 2nd Semester,"Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)",CONTINUE/STOP
21-00986,BSIT-1C,18,Female,Pasig,"below 9,520.00",Rizal High School,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,Yes,
21-00995,BSIT-1C,18,Female,Pasig,"below 9,520.00",Rizal High School,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-00655,BSIT-1C,18,Female,others,"9,520.00 - 19,040.00",Arellano University Plaridel Campus,TVL,90 - 95,2.49 - 2.00,1.99  - 1.50,No,
21-00342,BSIT-1B,19,Male,Pasig,"9,520.00 - 19,040.00",Buting High School,TVL,96 and above,1.49 - 1.00,below 3.00,Yes,
21-00057,BSIT-1A,19,Female,Pasig,"9,520.00 - 19,040.00",Arellano University - Andres Bonifacio Campus,STEM,96 and above,1.49 - 1.00,below 3.00,No,
21-000425,BSIT-1B,19,Female,Pasig,"19,041.00 - 38,080.00",RTU,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-00699,BSIT-1C,18,Female,Pasig,"below 9,520.00",Rizal High School,TVL,90 - 95,1.49 - 1.00,2.50 - 3.00,No,
21-00299,BSIT-1B,19,Male,Pasig,"9,520.00 - 19,040.00",Nazareth School of National University,STEM,85 - 89,1.99  - 1.50,1.99  - 1.50,No,
21-00976,BSIT-1C,20,Female,Pasig,"below 9,520.00",Rizal High School,TVL,85 - 89,1.49 - 1.00,2.50 - 3.00,Yes,
21-00895,BSIT-1C,19,Female,Pasig,"9,520.00 - 19,040.00",Daehan College of Business and Technology,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-00705,BSIT-1C,19,Male,Pasig,"below 9,520.00",Pantalan Senior High School ,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,No,
21-01014,BSIT-1C,19,Female,Pasig,"below 9,520.00",Buting High School,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,No,
21-00998,BSIT-1C,19,Male,Pasig,"19,041.00 - 38,080.00",Rizal High School,TVL,90 - 95,1.49 - 1.00,below 3.00,No,
21-00999,BSIT-1C,19,Female,Pasig,"9,520.00 - 19,040.00",Rizal High School,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,No,
21-00219,BSIT-1A,18,Female,Pasig,"below 9,520.00",Kapitolyo High School,STEM,90 - 95,2.50 - 3.00,2.50 - 3.00,No,
21-00855,BSIT-1C,18,Male,Pasig,"below 9,520.00",ICCT Colleges - Cainta Campus,TVL,90 - 95,1.49 - 1.00,below 3.00,No,
21-00984,BSIT-1C,19,Female,Pasig,"below 9,520.00",Arellano University - Andres Bonifacio Campus,TVL,85 - 89,2.50 - 3.00,1.99  - 1.50,No,
21-00683,BSIT-1B,19,Male,Pasig,"9,520.00 - 19,040.00",Buting High School,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,No,
21-00010,BSIT-1A,19,Female,Pasig,"below 9,520.00",Sta. Lucia High School,TVL,90 - 95,1.49 - 1.00,below 3.00,No,
